"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7"
"FBgn0262146",2.50583936494545,3.65877287876521,4.60146459971037,5.41831488619234,5.42633403371148,5.28290380311845,4.75587613148762
"FBgn0262149",1.11467038586542,1.55786423662168,1.82424804172327,1.59554465168913,1.401611429344,1.35460885992952,1.5729341215236
"FBgn0262150",2.84953706132646,2.97628774362407,3.09161597491518,3.2861195026101,3.40268070246842,3.55481473650239,3.9281615459427
"FBgn0262160",7.60430964767553,7.56629427529126,7.53371098159353,7.49759704281482,7.49259418959698,7.49439366823973,7.50961531470413
"FBgn0262166",3.66666603594996,3.84161493793989,3.96485278720505,3.9786570927867,3.94359716082513,3.93157660758902,3.9615074722114
"FBgn0262167",5.33465205711298,5.36694947237714,5.40088349980966,5.470484234943,5.49605421022887,5.50963265335003,5.51396445591511
"FBgn0262169",5.0173548259092,4.8325558447732,4.73194157061648,4.89121527983572,5.00488547660208,5.0444824002961,4.96725038005285
"FBgn0262170",2.21804755770759,1.82480856325175,1.56326817489173,1.62586054738465,1.75109201692486,1.80384961620836,1.74603909844071
"FBgn0262351",4.37038793114381,4.52769756159644,4.57179316155112,4.22204701079593,4.08929838546918,4.14991868018289,4.65731225103986
"FBgn0262352",5.0271986629909,4.79713640129435,4.60474244107275,4.42368264517894,4.42792218201565,4.48386178735438,4.68483106366585
"FBgn0262353",2.18783064762122,1.8850616633575,1.71017431934944,1.90333567510543,2.04282392810669,2.06041322179312,1.84038925206406
"FBgn0262354",2.4208602650474,2.58175934453228,2.65494313148956,2.44902850467101,2.35437117040999,2.38357164188773,2.69247998987999
"FBgn0262355",2.0642565006243,2.09028800835569,2.05542676105002,1.76416722647267,1.66746276640523,1.70278246842234,2.03365316699784
"FBgn0262356",1.80026011392311,1.9819999280931,2.06326020136486,1.82679058611077,1.72660572446227,1.77741398103521,2.18307582853344
"FBgn0262357",2.75150637556816,2.57255312467438,2.58938051317157,3.45585003238636,3.95778505830082,4.27631019663019,4.52867930086044
"FBgn0262358",2.77513575858828,2.52197717881882,2.37017630753824,2.48976723527167,2.57019642871297,2.53974371590394,2.24981852679801
"FBgn0262359",5.11294145798923,5.03154201232307,5.00755840429979,5.17754531040776,5.23340698047457,5.18291620600105,4.87056219069864
"FBgn0262360",2.4705025223601,2.76730975399929,2.9240626886995,2.64699111975444,2.46903665254391,2.43266233528839,2.65455446047199
"FBgn0262361",3.83266673287337,3.97135724519937,4.03433504191837,3.8535276074063,3.76525266924715,3.77851621147606,4.01120142907964
"FBgn0262363",6.56899366780121,6.58971519539834,6.64374726345036,6.86980585273612,6.95008187612618,6.95174725713905,6.80074336877944
"FBgn0262364",2.63702420874227,2.7339185483731,2.75437386089963,2.49602752846084,2.3885951486144,2.40457299865805,2.68384767710269
"FBgn0262365",4.24812284125975,4.18138916379646,4.14966978565225,4.21534285078882,4.22328001622098,4.15875021982294,3.88652042790374
"FBgn0262366",1.69596315558429,2.58152275324614,3.0879719635687,2.51370074853246,2.14133877757378,2.17512452679002,3.08320433124612
"FBgn0262467",4.58342400342041,4.46021425296357,4.39904392524347,4.54458947148287,4.64659827438421,4.69845159924225,4.69519184789032
