"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7"
"FBgn0003997",3.35941086129948,3.28949211428498,3.24606696948258,3.28519497955804,3.33895457962907,3.39445342483532,3.50319269941549
"FBgn0004003",6.11577932678628,6.13762609003112,6.10625633284161,5.81027267604351,5.63072404892068,5.48728760772863,5.27921184905525
"FBgn0004047",2.97027266784561,3.00884742983032,3.05338869139724,3.16390519920162,3.21385761504662,3.25032772640061,3.29674560744163
"FBgn0004049",5.15705283909013,5.33730256633458,5.41625147240423,5.16818259925726,5.05537938922989,5.08737278639202,5.44395755694135
"FBgn0004050",4.64071085255024,4.76757239029501,4.82070328650123,4.63715369832333,4.56417870735896,4.60792590307802,4.92963494486811
"FBgn0004055",5.65762150456543,5.71240600825499,5.72649607458569,5.59874531481219,5.55279459647131,5.57931844609433,5.77673396805574
"FBgn0004057",6.87773036734096,6.86985905516404,6.84777017625503,6.75440197549038,6.72389474091547,6.72928363958389,6.81032867982114
"FBgn0004066",6.8550742532977,6.77810296013407,6.69667825990918,6.53883323458628,6.50325115412975,6.51973777950545,6.65126764683005
"FBgn0004087",2.64491083617992,2.54992361258429,2.49323178383118,2.55914236882257,2.63627198032713,2.71031134775872,2.84461766772627
"FBgn0004101",3.55036582368858,3.45439661893893,3.38311074896291,3.37277238943089,3.42733037030345,3.51323472804286,3.7386755387358
"FBgn0004102",2.83234981674407,3.00046557484527,3.08643830242976,2.90044958696857,2.76266926699626,2.68481589397689,2.65858530483258
"FBgn0004103",7.22190570273636,7.29021280608134,7.30407648066432,7.12059897496986,7.04798226356952,7.06714378075606,7.28889337472158
"FBgn0004106",2.98055899121902,2.86703135307651,2.81596086725616,2.97962679203885,3.08361189876747,3.12933769307788,3.09854116418081
"FBgn0004107",1.27538252950955,1.19826415813146,1.19246035588044,1.48634174133662,1.66230070064248,1.77571115366471,1.87039640852588
"FBgn0004108",3.00242750156786,3.26797558984163,3.41058434731253,3.17554542460793,3.01995754004043,2.98495045998492,3.1666376689178
"FBgn0004117",9.07957133844794,8.94394130154717,8.85825524774174,8.89846710290403,8.93447008958286,8.92194782812978,8.79551346849809
"FBgn0004118",4.06519842714829,3.92356230479688,3.82764434408854,3.83232499912928,3.85453292497885,3.83799136600309,3.7227283469951
"FBgn0004132",4.44243695260088,4.40484480105211,4.41403957399627,4.61166014219106,4.68977829385455,4.68448198103115,4.5077399585354
"FBgn0004133",5.5494206584287,5.60569023079411,5.6612954919538,5.75103002777693,5.76069519395166,5.73368243741015,5.61102421740203
"FBgn0004167",7.21712035500284,7.36606918436013,7.4144765862394,7.09708870695217,6.9283931211176,6.88085009537273,7.03387122477578
"FBgn0004168",3.31974576637371,3.41852487492857,3.45817386908532,3.28831813586981,3.18709416368086,3.14601382886062,3.18894125311937
"FBgn0004169",9.85087892644936,9.67260873280753,9.55643812210181,9.58972860328462,9.63092396635234,9.61688667354524,9.47231344505403
"FBgn0004171",8.39550670539671,8.41354687078548,8.44497120503063,8.55164556205215,8.5851016190291,8.57980301386941,8.49375244353209
"FBgn0004172",4.24514251218495,4.23859168986845,4.23847027713949,4.2693115814286,4.29399072874383,4.320115933893,4.37373824229925
"FBgn0004173",8.25178604083819,8.15663545591441,8.11659609795115,8.26183815415981,8.33671252444359,8.34173351770386,8.20931891668855
"FBgn0004174",6.93565203362732,7.02388836375714,7.11354964614664,7.25559612327184,7.24586143650336,7.1481166919746,6.78731147956241
"FBgn0004175",6.82718897709784,6.80165587100721,6.81028712173218,6.94844344340424,6.98369429643785,6.93806941999065,6.68806009998319
