"","pvalue.t1.t0","pvalue.t2.t0","pvalue.t4.t0","pvalue.t5.t0","pvalue.t6.t0","pvalue.t8.t0","pvalue.t10.t0","pvalue.t12.t0","pvalue.t14.t0","pvalue.t16.t0","pvalue.t20.t0","pvalue.t24.t0","pvalue.t30.t0","pvalue.t36.t0","pvalue.t42.t0","pvalue.t48.t0"
"FBgn0000079",0.0635664528668653,0.0173908936751351,0.034101996650824,0.00289981889919741,0.0375029309394754,0.0344704589576117,0.0138851390869026,0.0158125214588561,0.995255572634039,0.217991709568628,0.000132470918618202,1.81096407379211e-05,7.05384965044389e-05,0.00245436823592866,0.000447482840360664,0.000489463976387969
"FBgn0000083",0.00625560587507978,8.94715398330841e-05,0.029892419672261,0.00912231722777825,0.113821967744312,0.88439351249878,0.189457358496621,0.39011247403548,0.790582710256464,0.946655036913496,0.722889916531025,0.515602863379472,0.341852703286662,0.677513335330801,0.909795981764703,0.797244328912396
"FBgn0000084",0.532340222561858,0.100069768492577,0.948575676169994,0.125353173207141,0.846759110798098,0.780703525213745,0.167298387440236,0.372626663890753,0.807096828272342,0.988857868290198,0.746079403644667,0.266811480765954,0.462339930023264,0.961110541505002,0.933326417378296,0.987723761760165
"FBgn0000092",0.0107436577531896,0.016024926851651,0.00270439848379174,0.0045299160825772,0.0375220735447697,0.0625047096932117,0.687041225443158,0.58378838288785,0.804849375066709,0.19447741430316,0.0148413408754938,0.019581104906501,0.386290567644767,0.290223020972928,0.199067908610274,0.00632461062634043
"FBgn0000094",0.286593269816037,0.449364805861941,0.420809935097716,0.00647319560374237,0.352644804279111,0.369185633000007,0.392168454289391,0.399994484465962,0.220556061009878,0.678460652141135,0.924503686443691,0.905239955061823,0.578153422766402,0.451174804774529,0.241131885084688,0.285559392884928
"FBgn0000097",0.466114854155336,0.19571730172657,0.996250049879148,0.150167579789985,0.671811964484439,0.547284963616551,0.837824719922225,0.221874362026748,0.809470413912365,0.623950887228789,0.928495053339242,0.141004605580362,0.311265075892447,0.114785496232383,0.970015035553369,0.109996250487556
"FBgn0000100",0.916194904385304,0.737734851416319,0.33133902726578,0.0765374813921008,0.497063027802135,0.74802524178047,0.185735139677271,0.232848443057426,0.843510179808966,0.857770724137361,0.237279087868861,0.181688863462739,0.176771162849787,0.442007721842246,0.07073362890547,0.113757071781029
"FBgn0000108",0.588542315492611,0.592388491047931,0.429165720550182,0.0607087121677694,0.74805486313429,0.285186268202659,0.53942333755832,0.828788853101844,0.410463213450844,0.691128570509226,0.34444780429963,0.692255992874058,0.689759525167891,0.868442154085382,0.837467045751852,0.941750203836294
"FBgn0000109",0.759156513798227,0.576156221643317,0.11751473133259,0.372310547010963,0.557626857447011,0.685395876057368,0.401964095739472,0.164463519044523,0.936503784069908,0.112329841628848,0.105739753349927,0.196195351331298,0.0560592793487872,0.119673236311174,0.00734901758079947,0.648222996447305
"FBgn0000114",0.784197195839042,0.804043247843334,0.580005740740979,0.00212078036080517,0.961169148795732,0.471325275817856,0.167832897098097,0.0635538499198688,0.0282599366903835,0.674848461858434,0.559825837702768,0.033989625957513,0.106040030643469,0.0157626909787257,0.00353877777591912,0.0643357010544699
