"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0058172",0.132587050971257,-0.039450637779622,0.194291366134496,-0.0485570859437341,-0.0394593927184212,-0.0470969741599263,-0.396318814480685,-0.436428334284593,-0.230416758866013,-0.0822051509411317,0.00171601104787955,-0.354937342292846,-0.280322809699475,-0.290487905915177,-0.0847538421384,-0.32535794814624
"FBgn0058178",-0.0167209035810316,-0.129170735756293,-0.334675551704107,-0.243911720520822,-0.164136824468914,-0.233747091070238,-0.0842770059380129,-0.125647029314481,0.179557101846227,-0.00494432274348089,-0.0607854693304697,0.0581243731162289,-0.0323861588977676,-0.0110617985111263,0.0795074280010271,0.064772436773791
"FBgn0058191",0.00873082468970043,0.069785525712736,0.0294214163387645,0.175539395620429,0.258318668816731,0.102341671332534,0.198095715762586,0.160382403619672,0.2629638209171,0.110269881296588,0.0742376404105345,0.193036711047217,0.228603906746732,0.195720948652838,0.240486574387011,0.144749809749135
"FBgn0058198",-0.354961707664159,-0.296124780862481,-0.491216708840708,-0.555915689295452,-0.721796079502619,-1.0244175543713,-0.711626283811638,-0.560700703187647,-0.345262057368633,-0.243780248402127,-0.417938955529661,-0.338323246673295,-0.520255632470346,-0.527303060104807,0.0582422765461565,-0.0117032294903447
"FBgn0058263",0.09703019165865,-0.00966376938122959,-0.275614264383885,0.0402210989926504,-0.0607391816665288,-0.163958441304674,0.120445068847186,0.0633110037168265,0.164043656964085,0.100486494923592,0.171622104322533,0.167431190545306,0.216629764797183,0.110694584251183,0.247767809381038,0.114548539440213
"FBgn0058298",-0.339816988870525,-0.55816337156171,-0.226161382948334,-0.21748684502573,-0.182929235869,-0.121062431466834,-0.648070558863057,-0.133168176870725,0.182556284308478,-0.155320065818522,-0.443759623849915,-0.479169151156496,-0.370903010758626,-0.528979557873539,-0.369994188056116,-0.332402720418579
"FBgn0058354",0.0653519991672136,0.0218867384743504,-0.00669434523673917,-0.180609522754412,-0.0691101850748534,0.0656319370040563,-0.139607287044066,-0.255388240027499,-0.177414152997717,-0.163925164361687,-0.188370030803284,-0.229510694697652,-0.223671756266302,-0.238972248010812,-0.29366185678402,-0.172533235579635
"FBgn0058439",0.0297719342039668,-0.0090676293024412,-0.0991592576870906,0.404440759387403,0.253161639813425,0.0710714826510452,0.0586412114529216,0.0993897565942428,0.378394572344681,0.11393606943356,0.10338208614493,0.177979816935802,0.158089465462954,0.21002422558526,0.319680682245423,0.191160745680485
"FBgn0058469",0.217469591223933,-0.0688982016431705,-0.221141610565578,0.695161210393389,0.0277502216809449,-0.168308923187945,0.00740562758777852,0.159340662301698,0.259929926739779,0.103839453238393,0.16114021959914,0.279385958931041,0.12957978662684,0.105695166126793,0.340740973344383,0.315469371186428
"FBgn0058470",0.12392048748028,-0.0703261444629022,-0.0594495144192688,-0.0237734158177396,-0.128777008518892,-0.0495638076062317,-0.00975661967756469,0.0143161390616147,0.216454520551265,0.305836432831255,0.267564581602651,0.41901710263222,0.303988442356639,0.231791867255223,0.375626604640491,0.273264590377859
